날짜,두바이 디저트,아인슈페너,타르트,휘낭시에,티라미수
2024-02-08,0.0214,1.24361,1.05252,1.58987,0.32332
2024-02-09,0.01375,1.21304,0.98067,1.40031,0.36995
2024-02-10,0.01758,1.34069,0.93787,1.25814,0.37988
2024-02-11,0.02828,1.47139,0.98602,1.31776,0.39441
2024-02-12,0.02063,1.37355,1.12896,1.32005,0.45173
2024-02-13,0.02981,0.90729,1.06628,1.49891,0.42345
2024-02-14,0.03286,0.98144,1.10985,1.81001,0.43492
2024-02-15,0.02522,1.15036,1.07622,1.5035,0.37988
2024-02-16,0.02369,1.04106,1.01354,1.40566,0.40129
2024-02-17,0.03286,1.31623,1.02883,1.28565,0.55186
2024-02-18,0.0191,1.1924,1.09685,1.27342,0.54728
2024-02-19,0.0428,0.8836,1.10221,1.38043,0.45326
2024-02-20,0.03057,0.91723,1.02883,1.49662,0.39058
2024-02-21,0.04127,1.02042,1.29177,1.36515,0.44791
2024-02-22,0.02981,1.30247,1.08921,1.40871,0.40052
2024-02-23,0.03133,1.05864,1.40871,1.7909,0.38218
2024-02-24,0.02828,1.28795,1.35521,1.59598,0.42498
2024-02-25,0.01452,1.27266,1.21686,1.30705,0.39593
2024-02-26,0.02828,0.94016,1.07775,1.43165,0.38141
2024-02-27,0.02828,0.96233,1.13125,1.58528,0.35925
2024-02-28,0.02063,1.0059,1.14425,1.60898,0.31262
2024-02-29,0.01987,1.23979,0.9822,1.39572,0.32791
2024-03-01,0.0321,1.31928,1.02424,1.25737,0.39593
2024-03-02,0.22548,1.29024,1.05558,1.31011,0.4181
2024-03-03,0.1414,1.12972,1.0594,1.64872,0.38523
2024-03-04,0.04662,0.80105,0.91341,1.22909,0.30345
2024-03-05,0.03516,0.8622,0.99978,1.38731,0.3195
2024-03-06,0.04203,0.98067,1.03341,1.39878,0.31644
2024-03-07,0.02981,0.96691,1.02577,1.44158,0.3088
2024-03-08,0.0214,0.99367,1.11673,1.51114,0.30574
2024-03-09,0.01987,1.24132,1.36209,2.73412,0.40587
2024-03-10,0.02522,1.28795,1.18246,1.52566,0.386
